"asset_id","site_id","asset_order","asset_label","asset_text","power_source_id","asset_subtype_id","status_id","capacity_value","capacity_unit","schedule_text"
"dangjin_asset_01","dangjin","1","석탄화력","2025.5 기준 당진 석탄 6,040MW로 정리되어 있습니다.","thermal","","operating","6,040","MW","2025.5 기준"
"dangjin_asset_02","dangjin","2","태양광","2025.5 기준 당진 태양광 114.5MW가 확인됩니다.","solar","site_solar","operating","114.5","MW","2025.5 기준"
"dangjin_asset_03","dangjin","3","암모니아 혼소","당진 9호기는 암모니아 20% 혼소 실증부지로 별도 추진됩니다.","ammonia","","demo","","",""
"dangjin_asset_04","dangjin","4","LNG 연료전환","당진 1~6호기는 2024~2036년 LNG 연료전환 대상으로 제시됩니다.","lng","","transition","","","2024~2036"
"dangjin_asset_05","dangjin","5","순환자원 연료화","커피박 연료 상용화, 당진본부 연간 2만톤 사용 기반, 바이오연료 발전수익 121억원, 수입탄 대체 4.3만톤→4.7만톤 항목이 폐자원 연료화로 연결됩니다.","waste_resource","","operating","","",""
"dangjin_asset_06","dangjin","6","무탄소 전환","당진 7~8호기는 2037~2038년 양수, 수소전소, 암모니아 혼소 등 무탄소 위주 전환 대상으로 제시됩니다.","hydrogen","","transition","","","2037~2038"
"donghae_asset_01","donghae","1","석탄·유동층","2025.5 기준 동해 석탄 400MW로 정리되어 있습니다.","thermal","","operating","400","MW","2025.5 기준"
"donghae_asset_02","donghae","2","LNG 전환","동해 1·2호기는 2024~2036년 LNG 연료전환 대상으로 제시됩니다.","lng","","transition","","","2024~2036"
"donghae_asset_03","donghae","3","바이오매스","동해발전본부 바이오매스 30MW가 확인됩니다.","biomass","biomass_power","operating","30","MW",""
"donghae_asset_04","donghae","4","태양광","2025.5 기준 동해 태양광 8.5MW가 확인됩니다.","solar","site_solar","operating","8.5","MW","2025.5 기준"
"donghae_asset_05","donghae","5","연료전지","연료전지 19.2MW가 동해 항목으로 정리되어 있습니다.","hydrogen","","operating","19.2","MW",""
"ulsan_asset_04","ulsan","1","울산 1복합 LNG 복합설비 맥락","LNG 페이지에서 울산 1복합은 별도 수소혼소 실증 대상으로 확인되지만, 해당 발췌는 울산 항목을 LNG 현황표처럼 직접 확정하지 않습니다. 따라서 울산은 산업단지 전력공급·기존 복합설비 맥락 아래에서 보고, 300MW·수소 50%·실증 일정은 수소 발전원에 둡니다.","lng","","check","","",""
"ulsan_asset_01","ulsan","2","울산 1복합 수소혼소","300MW 수소혼소 터빈 기술개발 및 실증 과제입니다. 목표는 수소 50% 혼소로 정리되어 있습니다.","hydrogen","","demo","300","MW","2023.4 개발착수|2025.6~ 설비 착·준공|2027.12~ 실증 및 성능평가"
"ulsan_asset_02","ulsan","3","수소혼소 실증 일정","개발착수 2023.4, 설비 착·준공 2025.6~, 실증 및 성능평가 2027.12~로 정리되어 있습니다.","hydrogen","","demo","","","2023.4 개발착수|2025.6~ 설비 착·준공|2027.12~ 실증 및 성능평가"
"ulsan_asset_03","ulsan","4","연료전지","울산 연료전지 13.3MW가 확인됩니다.","hydrogen","","operating","13.3","MW",""
"ulsan_asset_05","ulsan","5","태양광","2025.5 기준 울산 태양광 1.4MW가 확인됩니다.","solar","site_solar","operating","1.4","MW","2025.5 기준"
"ulsan_asset_06","ulsan","6","울산 풍력 운영","울산 풍력단지 37.5MW 운영 항목입니다.","wind","onshore_wind","operating","37.5","MW",""
"ulsan_asset_07","ulsan","7","울산 풍력 개발","울산 63MW 개발 항목입니다. 운영 중 풍력과 분리해야 합니다.","wind","onshore_wind","planned","63","MW",""
"ulsan_asset_08","ulsan","8","울산부유식 해상풍력","울산부유식 해상풍력 개발 항목입니다. 제공 근거에는 세부 용량이나 준공 시점이 없습니다.","wind","floating_offshore_wind","planned","","",""
"ilsan_asset_01","ilsan","1","LNG 복합·열병합","일산 열병합발전소는 LNG복합으로 확인됩니다.","lng","","operating","","",""
"ilsan_asset_02","ilsan","2","대체건설","일산 대체건설 900MW 허가 취득 항목이 정리되어 있습니다.","lng","","planned","900","MW",""
"ilsan_asset_03","ilsan","3","연료전지","일산 연료전지 5.3MW가 확인됩니다.","hydrogen","","operating","5.3","MW",""
"ilsan_asset_04","ilsan","4","열공급","지역난방 열공급과 발전을 함께 보는 열병합 설명에 적합합니다.","lng","","operating","","",""
"eumseong_asset_01","eumseong","1","LNG 천연가스발전","음성천연가스발전소는 LNG가 원료인 발전소로 정리되어 있습니다.","lng","","planned","","",""
"eumseong_asset_02","eumseong","2","수소혼소 적용","LNG 발전소에 수소혼소를 적용하는 계획이 확인됩니다.","hydrogen","","planned","","",""
"eumseong_asset_03","eumseong","3","BIPV","음성복합 건축물 3개소 약 100kW 규모 BIPV 적용 설계 완료 항목입니다.","solar","bipv","planned","100","kW",""
"shin-honam_asset_01","shin-honam","1","LNG 복합 건설","신호남은 LNG 복합발전소 건설 맥락으로 상위 정리 페이지에 연결되어 있습니다.","lng","","planned","","",""
"shin-honam_asset_02","shin-honam","2","연료전지","신호남 연료전지 15.0MW가 확인됩니다.","hydrogen","","operating","15.0","MW",""
"shin-honam_asset_03","shin-honam","3","태양광 등 신재생","신호남은 연료전지·태양광 등 신재생 운영 흐름과 연결됩니다.","solar","site_solar","operating","","",""
"shin-honam_asset_04","shin-honam","4","호남 석탄 폐지","호남은 제공 근거에서 현재 운영 석탄으로 넣으면 안 되고 폐지 사례로만 정리됩니다.","thermal","","retired","","","2022~2023 폐지 표기"
"jeju_asset_06","jeju","1","제주 150MW LNG 복합 신규","LNG 페이지 기준 제주 150MW는 고효율 저탄소 LNG 복합 신규 사업으로 확인됩니다. 수소 대응 표기는 별도 수소 발전원 항목에 둡니다.","lng","","planned","150","MW","2027년 준공 예정"
"jeju_asset_01","jeju","2","제주 가스복합(수소)","수소 페이지 기준 제주 청정에너지 복합발전소는 가스복합(수소) 150MW, 2027년 준공 예정으로 정리되어 있습니다.","hydrogen","","planned","150","MW","2027년 준공 예정"
"jeju_asset_07","jeju","3","제주 가스복합 500MW 확인필요","수소 페이지의 같은 표에 가스복합 500MW도 함께 적혀 있습니다. 150MW 항목과 별도 사업인지 현재 SSOT에서는 확인필요로 분리합니다.","lng","","check","500","MW",""
"jeju_asset_02","jeju","4","BESS","제주 BESS 35MW 사업권 획득 항목이 확인됩니다.","storage","bess","planned","35","MW",""
"jeju_asset_03","jeju","5","태양광","제주 청정에너지 복합발전소 태양광 0.1MW가 확인됩니다.","solar","site_solar","operating","0.1","MW",""
"jeju_asset_04","jeju","6","바이오중유","제주내연 2호기 40MW 바이오중유 전환이 확인됩니다.","waste_resource","","transition","40","MW",""
"jeju_asset_05","jeju","7","소수력 개발","제주·완도지역 소수력 확대와 제주 서귀포 양식장 50kW 설치예정 항목이 연결됩니다.","small_hydro","aquaculture_small_hydro","planned","50","kW",""
"yongin_asset_01","yongin","1","가스복합(수소)","용인 LNG복합발전은 건설 중 가스복합(수소) 1,000MW, 2030년 준공 예정으로 정리되어 있습니다.","hydrogen","","construction","1,000","MW","2030년 준공 예정"
"yongin_asset_02","yongin","2","개발 방향","신규 LNG 복합이 장기적으로 수소 대응 설비로 설계되는 흐름과 연결됩니다.","lng","","planned","","",""
"gokseong_asset_01","gokseong","1","양수발전","곡성 양수발전 사업권 500MW가 확인됩니다.","storage","pumped_hydro","planned","500","MW","2036년 준공 예정"
"gokseong_asset_02","gokseong","2","준공 예정","2025.5 기준 국내 발전소 현황에는 양수 500MW 건설 중, 2036년 준공 예정으로 정리됩니다.","storage","pumped_hydro","planned","500","MW","2025.5 기준|2036년 준공 예정"
"windbelt_asset_01","windbelt","1","양양 풍력","양양 46.2MW 준공 항목입니다.","wind","onshore_wind","operating","46.2","MW","2024년 3월 준공"
"windbelt_asset_02","windbelt","2","영덕 해맞이 풍력","영덕 해맞이 34.4MW 상업운전 항목입니다.","wind","onshore_wind","operating","34.4","MW","2024년 4월 상업운전"
"windbelt_asset_03","windbelt","3","경주 풍력","경주 36MW 운영 항목입니다.","wind","onshore_wind","operating","36","MW",""
"windbelt_asset_04","windbelt","4","울산 풍력","울산 37.5MW 운영 항목입니다.","wind","onshore_wind","operating","37.5","MW",""
"windbelt_asset_05","windbelt","5","가덕산 풍력","가덕산 64.2MW 운영 항목입니다.","wind","onshore_wind","operating","64.2","MW",""
"windbelt_asset_06","windbelt","6","울산 풍력 개발","울산 63MW 개발 항목입니다.","wind","onshore_wind","planned","63","MW",""
"windbelt_asset_07","windbelt","7","울진 풍력 개발","울진 160MW 개발 항목입니다.","wind","onshore_wind","planned","160","MW",""
"windbelt_asset_08","windbelt","8","횡계 풍력 건설","횡계 26MW 건설 항목입니다.","wind","onshore_wind","construction","26","MW",""
"windbelt_asset_09","windbelt","9","울산부유식 해상풍력","울산부유식 해상풍력 개발 항목입니다.","wind","floating_offshore_wind","planned","","",""
"daeho_asset_01","daeho-floating-solar","1","대호호 수상태양광","대호호 98MW는 2024.11 상업운전과 2024.12.11 준공이 확인됩니다.","solar","floating_solar","operating","98","MW","2024.11 상업운전|2024.12.11 준공"
"haechangman_asset_01","haechangman-floating-solar","1","해창만 수상태양광","해창만 98MW는 2023년 준공으로 확인됩니다.","solar","floating_solar","operating","98","MW","2023년 준공"
"yanggu_asset_01","yanggu-floating-solar","1","양구 수상태양광","양구 수상 8.8MW는 11월 준공 항목으로 확인됩니다. 기준연도는 추가 확인이 필요합니다.","solar","floating_solar","operating","8.8","MW","11월 준공"
"baekgok_asset_01","baekgok-floating-solar","1","백곡저수지 수상태양광","백곡저수지 40MW는 최초제안자 지위 확보 단계로 정리됩니다.","solar","floating_solar","proposed","40","MW",""
"solar_portfolio_asset_01","solar-portfolio","1","지붕태양광","울산산단·동해바이오저장고 등 지붕태양광 17.9MW 준공이 확인됩니다.","solar","roof_solar","operating","17.9","MW",""
"solar_portfolio_asset_02","solar-portfolio","2","영농형 태양광 시범 운영","700kW 영농형 태양광 시범사업을 지속 운영 중입니다.","solar","agrivoltaics","operating","700","kW",""
"solar_portfolio_asset_04","solar-portfolio","3","영농형 태양광 실증","영농형 태양광 실증사업도 진행 중입니다. 운영 중 700kW 시범사업과 상태를 분리합니다.","solar","agrivoltaics","demo","","",""
"solar_portfolio_asset_03","solar-portfolio","4","RE100·PPA 모델","RE100 연계 태양광, On-Site 직접 PPA, VPPA, EWP 자체 태양광 사업장 연계 REC 공급 모델이 확인됩니다.","solar","re100_ppa","planned","","",""
"solar_portfolio_asset_05","solar-portfolio","5","발전량 예측·성능개선","전국 태양광 발전량 예측 정확도 89%, 노후 태양광 표면 코팅 기술 적용 후 발전량 4~10% 이상 개선 항목이 확인됩니다.","solar","solar_om","demo","","",""
"solar_portfolio_asset_06","solar-portfolio","6","RE3530 태양광 목표","RE3530 기준 2035년 태양광 4,251MW, 신재생 포트폴리오의 50% 목표가 제시됩니다.","solar","site_solar","planned","4,251","MW","2035년"
"seokmun_asset_01","seokmun-biomass","1","석문집단에너지 바이오매스","석문집단에너지 바이오매스 38.9MW가 확인됩니다.","biomass","biomass_power","operating","38.9","MW",""
"ess_portfolio_asset_01","ess-portfolio","1","ESS 운영 집계","2024.12 기준 국내 신재생 발전소 현황표에 ESS 165.6MWh가 운영 항목으로 집계됩니다. 이 값은 출력 MW가 아니라 저장량 MWh입니다.","storage","bess","operating","165.6","MWh","2024.12 기준"
"ess_portfolio_asset_02","ess-portfolio","2","BESS 추진 방향","회사 차원에서 BESS 추진을 신사업 과제로 명시합니다. 제주 BESS 35MW와 전사 운영 집계 165.6MWh는 단위와 범위가 다릅니다.","storage","bess","planned","","",""
